(bjorn39) ✔ ~/Desktop/elitech-datareader [master|✚ 1…1]
09:35 $ conda info

     active environment : bjorn39
    active env location : /home/bjorn/anaconda3/envs/bjorn39
            shell level : 2
       user config file : /home/bjorn/.condarc
 populated config files : /home/bjorn/.condarc
          conda version : 4.9.2
    conda-build version : 3.20.5
         python version : 3.8.3.final.0
       virtual packages : __glibc=2.31=0
                          __unix=0=0
                          __archspec=1=x86_64
       base environment : /home/bjorn/anaconda3  (writable)
           channel URLs : https://conda.anaconda.org/conda-forge/linux-64
                          https://conda.anaconda.org/conda-forge/noarch
                          https://repo.anaconda.com/pkgs/main/linux-64
                          https://repo.anaconda.com/pkgs/main/noarch
                          https://repo.anaconda.com/pkgs/r/linux-64
                          https://repo.anaconda.com/pkgs/r/noarch
                          https://conda.anaconda.org/BjornFJohansson/linux-64
                          https://conda.anaconda.org/BjornFJohansson/noarch
          package cache : /home/bjorn/anaconda3/pkgs
                          /home/bjorn/.conda/pkgs
       envs directories : /home/bjorn/anaconda3/envs
                          /home/bjorn/.conda/envs
               platform : linux-64
             user-agent : conda/4.9.2 requests/2.25.1 CPython/3.8.3 Linux/5.4.0-59-generic linuxmint/20 glibc/2.31
                UID:GID : 1000:1000
             netrc file : None
           offline mode : False

(bjorn39) ✔ ~/Desktop/elitech-datareader [master|…1]
09:38 $ conda list
# packages in environment at /home/bjorn/anaconda3/envs/bjorn39:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       1_gnu    conda-forge
aiohttp                   3.7.3            py39h3811e60_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
argon2-cffi               20.1.0           py39hbd71b63_2    conda-forge
async-timeout             3.0.1                   py_1000    conda-forge
async_generator           1.10                       py_0    conda-forge
attrs                     20.3.0             pyhd3deb0d_0    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.1                      py_0    conda-forge
biopython                 1.78             py39h07f9747_1    conda-forge
bleach                    3.2.1              pyh9f0ad1d_0    conda-forge
brotlipy                  0.7.0           py39h38d8fee_1001    conda-forge
ca-certificates           2020.12.5            ha878542_0    conda-forge
cachetools                4.1.1                      py_0    conda-forge
cai                       1.0.3                    pypi_0    pypi
certifi                   2020.12.5        py39hf3d152e_0    conda-forge
cffi                      1.14.4           py39he88106c_0    conda-forge
chardet                   3.0.4           py39h079e4ff_1008    conda-forge
click                     7.1.2                    pypi_0    pypi
cloudpickle               1.6.0                      py_0    conda-forge
cmarkgfm                  0.4.2            py39h07f9747_3    conda-forge
colorama                  0.4.4              pyh9f0ad1d_0    conda-forge
coverage                  5.3              py39h07f9747_1    conda-forge
coveralls                 2.1.2                      py_0    conda-forge
cryptography              3.3.1            py39h3da14fd_0    conda-forge
